group_id,age,edu,ethn,sex
0,"[20,30)",1,Surinaams,Man
1,"[20,30)",1,Marokkaans,Man
2,"[20,30)",1,Turks,Man
3,"[20,30)",1,Overig,Man
4,"[20,30)",1,Autochtoon,Man
5,"[20,30)",2,Surinaams,Man
6,"[20,30)",2,Marokkaans,Man
7,"[20,30)",2,Turks,Man
8,"[20,30)",2,Overig,Man
9,"[20,30)",2,Autochtoon,Man
10,"[20,30)",3,Surinaams,Man
11,"[20,30)",3,Marokkaans,Man
12,"[20,30)",3,Turks,Man
13,"[20,30)",3,Overig,Man
14,"[20,30)",3,Autochtoon,Man
15,"[30,40)",1,Surinaams,Man
16,"[30,40)",1,Marokkaans,Man
17,"[30,40)",1,Turks,Man
18,"[30,40)",1,Overig,Man
19,"[30,40)",1,Autochtoon,Man
20,"[30,40)",2,Surinaams,Man
21,"[30,40)",2,Marokkaans,Man
22,"[30,40)",2,Turks,Man
23,"[30,40)",2,Overig,Man
24,"[30,40)",2,Autochtoon,Man
25,"[30,40)",3,Surinaams,Man
26,"[30,40)",3,Marokkaans,Man
27,"[30,40)",3,Turks,Man
28,"[30,40)",3,Overig,Man
29,"[30,40)",3,Autochtoon,Man
30,"[40,50)",1,Surinaams,Man
31,"[40,50)",1,Marokkaans,Man
32,"[40,50)",1,Turks,Man
33,"[40,50)",1,Overig,Man
34,"[40,50)",1,Autochtoon,Man
35,"[40,50)",2,Surinaams,Man
36,"[40,50)",2,Marokkaans,Man
37,"[40,50)",2,Turks,Man
38,"[40,50)",2,Overig,Man
39,"[40,50)",2,Autochtoon,Man
40,"[40,50)",3,Surinaams,Man
41,"[40,50)",3,Marokkaans,Man
42,"[40,50)",3,Turks,Man
43,"[40,50)",3,Overig,Man
44,"[40,50)",3,Autochtoon,Man
45,"[60,70)",1,Surinaams,Man
46,"[60,70)",1,Marokkaans,Man
47,"[60,70)",1,Turks,Man
48,"[60,70)",1,Overig,Man
49,"[60,70)",1,Autochtoon,Man
50,"[60,70)",2,Surinaams,Man
51,"[60,70)",2,Marokkaans,Man
52,"[60,70)",2,Turks,Man
53,"[60,70)",2,Overig,Man
54,"[60,70)",2,Autochtoon,Man
55,"[60,70)",3,Surinaams,Man
56,"[60,70)",3,Marokkaans,Man
57,"[60,70)",3,Turks,Man
58,"[60,70)",3,Overig,Man
59,"[60,70)",3,Autochtoon,Man
60,"[0,20)",1,Surinaams,Man
61,"[0,20)",1,Marokkaans,Man
62,"[0,20)",1,Turks,Man
63,"[0,20)",1,Overig,Man
64,"[0,20)",1,Autochtoon,Man
65,"[0,20)",2,Surinaams,Man
66,"[0,20)",2,Marokkaans,Man
67,"[0,20)",2,Turks,Man
68,"[0,20)",2,Overig,Man
69,"[0,20)",2,Autochtoon,Man
70,"[0,20)",3,Surinaams,Man
71,"[0,20)",3,Marokkaans,Man
72,"[0,20)",3,Turks,Man
73,"[0,20)",3,Overig,Man
74,"[0,20)",3,Autochtoon,Man
75,"[50,60)",1,Surinaams,Man
76,"[50,60)",1,Marokkaans,Man
77,"[50,60)",1,Turks,Man
78,"[50,60)",1,Overig,Man
79,"[50,60)",1,Autochtoon,Man
80,"[50,60)",2,Surinaams,Man
81,"[50,60)",2,Marokkaans,Man
82,"[50,60)",2,Turks,Man
83,"[50,60)",2,Overig,Man
84,"[50,60)",2,Autochtoon,Man
85,"[50,60)",3,Surinaams,Man
86,"[50,60)",3,Marokkaans,Man
87,"[50,60)",3,Turks,Man
88,"[50,60)",3,Overig,Man
89,"[50,60)",3,Autochtoon,Man
90,"[70,80)",1,Surinaams,Man
91,"[70,80)",1,Marokkaans,Man
92,"[70,80)",1,Turks,Man
93,"[70,80)",1,Overig,Man
94,"[70,80)",1,Autochtoon,Man
95,"[70,80)",2,Surinaams,Man
96,"[70,80)",2,Marokkaans,Man
97,"[70,80)",2,Turks,Man
98,"[70,80)",2,Overig,Man
99,"[70,80)",2,Autochtoon,Man
100,"[70,80)",3,Surinaams,Man
101,"[70,80)",3,Marokkaans,Man
102,"[70,80)",3,Turks,Man
103,"[70,80)",3,Overig,Man
104,"[70,80)",3,Autochtoon,Man
105,"[80,120]",1,Surinaams,Man
106,"[80,120]",1,Marokkaans,Man
107,"[80,120]",1,Turks,Man
108,"[80,120]",1,Overig,Man
109,"[80,120]",1,Autochtoon,Man
110,"[80,120]",2,Surinaams,Man
111,"[80,120]",2,Marokkaans,Man
112,"[80,120]",2,Turks,Man
113,"[80,120]",2,Overig,Man
114,"[80,120]",2,Autochtoon,Man
115,"[80,120]",3,Surinaams,Man
116,"[80,120]",3,Marokkaans,Man
117,"[80,120]",3,Turks,Man
118,"[80,120]",3,Overig,Man
119,"[80,120]",3,Autochtoon,Man
120,"[20,30)",1,Surinaams,Vrouw
121,"[20,30)",1,Marokkaans,Vrouw
122,"[20,30)",1,Turks,Vrouw
123,"[20,30)",1,Overig,Vrouw
124,"[20,30)",1,Autochtoon,Vrouw
125,"[20,30)",2,Surinaams,Vrouw
126,"[20,30)",2,Marokkaans,Vrouw
127,"[20,30)",2,Turks,Vrouw
128,"[20,30)",2,Overig,Vrouw
129,"[20,30)",2,Autochtoon,Vrouw
130,"[20,30)",3,Surinaams,Vrouw
131,"[20,30)",3,Marokkaans,Vrouw
132,"[20,30)",3,Turks,Vrouw
133,"[20,30)",3,Overig,Vrouw
134,"[20,30)",3,Autochtoon,Vrouw
135,"[30,40)",1,Surinaams,Vrouw
136,"[30,40)",1,Marokkaans,Vrouw
137,"[30,40)",1,Turks,Vrouw
138,"[30,40)",1,Overig,Vrouw
139,"[30,40)",1,Autochtoon,Vrouw
140,"[30,40)",2,Surinaams,Vrouw
141,"[30,40)",2,Marokkaans,Vrouw
142,"[30,40)",2,Turks,Vrouw
143,"[30,40)",2,Overig,Vrouw
144,"[30,40)",2,Autochtoon,Vrouw
145,"[30,40)",3,Surinaams,Vrouw
146,"[30,40)",3,Marokkaans,Vrouw
147,"[30,40)",3,Turks,Vrouw
148,"[30,40)",3,Overig,Vrouw
149,"[30,40)",3,Autochtoon,Vrouw
150,"[40,50)",1,Surinaams,Vrouw
151,"[40,50)",1,Marokkaans,Vrouw
152,"[40,50)",1,Turks,Vrouw
153,"[40,50)",1,Overig,Vrouw
154,"[40,50)",1,Autochtoon,Vrouw
155,"[40,50)",2,Surinaams,Vrouw
156,"[40,50)",2,Marokkaans,Vrouw
157,"[40,50)",2,Turks,Vrouw
158,"[40,50)",2,Overig,Vrouw
159,"[40,50)",2,Autochtoon,Vrouw
160,"[40,50)",3,Surinaams,Vrouw
161,"[40,50)",3,Marokkaans,Vrouw
162,"[40,50)",3,Turks,Vrouw
163,"[40,50)",3,Overig,Vrouw
164,"[40,50)",3,Autochtoon,Vrouw
165,"[60,70)",1,Surinaams,Vrouw
166,"[60,70)",1,Marokkaans,Vrouw
167,"[60,70)",1,Turks,Vrouw
168,"[60,70)",1,Overig,Vrouw
169,"[60,70)",1,Autochtoon,Vrouw
170,"[60,70)",2,Surinaams,Vrouw
171,"[60,70)",2,Marokkaans,Vrouw
172,"[60,70)",2,Turks,Vrouw
173,"[60,70)",2,Overig,Vrouw
